timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 03:58:25.167, 0 %, 89943 MiB, 95.49 W, 44, 2422 MHz
2026/08/15 03:58:30.168, 0 %, 89943 MiB, 90.88 W, 42, 2340 MHz
2026/08/15 03:58:35.169, 0 %, 89943 MiB, 89.97 W, 41, 2340 MHz
2026/08/15 03:58:40.169, 97 %, 89943 MiB, 381.72 W, 47, 2415 MHz
2026/08/15 03:58:45.170, 97 %, 89943 MiB, 387.13 W, 49, 2415 MHz
2026/08/15 03:58:50.170, 0 %, 89943 MiB, 92.34 W, 42, 2340 MHz
2026/08/15 03:58:55.171, 0 %, 89943 MiB, 90.39 W, 40, 2340 MHz
2026/08/15 03:59:00.171, 0 %, 89943 MiB, 89.47 W, 39, 2340 MHz
2026/08/15 03:59:05.172, 98 %, 89943 MiB, 384.26 W, 47, 2415 MHz
2026/08/15 03:59:10.172, 98 %, 89943 MiB, 386.44 W, 49, 2415 MHz
2026/08/15 03:59:15.173, 0 %, 89943 MiB, 89.68 W, 41, 2340 MHz
2026/08/15 03:59:20.173, 0 %, 89943 MiB, 89.96 W, 40, 2340 MHz
2026/08/15 03:59:25.174, 0 %, 89943 MiB, 89.38 W, 39, 2340 MHz
2026/08/15 03:59:30.175, 98 %, 89943 MiB, 359.91 W, 47, 2415 MHz
2026/08/15 03:59:35.175, 0 %, 89943 MiB, 99.54 W, 42, 2340 MHz
2026/08/15 03:59:40.176, 0 %, 89943 MiB, 89.90 W, 40, 2340 MHz
2026/08/15 03:59:45.176, 0 %, 89943 MiB, 89.37 W, 39, 2340 MHz
2026/08/15 03:59:50.177, 98 %, 89943 MiB, 387.75 W, 45, 2415 MHz
2026/08/15 03:59:55.177, 97 %, 89943 MiB, 384.84 W, 48, 2415 MHz
2026/08/15 04:00:00.178, 0 %, 89943 MiB, 91.10 W, 41, 2340 MHz
2026/08/15 04:00:05.178, 0 %, 89943 MiB, 90.65 W, 40, 2340 MHz
