timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 02:38:36.298, 97 %, 87973 MiB, 317.19 W, 50, 2422 MHz
2026/08/15 02:38:41.298, 97 %, 87973 MiB, 318.18 W, 50, 2422 MHz
2026/08/15 02:38:46.299, 97 %, 87973 MiB, 318.61 W, 51, 2422 MHz
2026/08/15 02:38:51.299, 97 %, 87973 MiB, 311.92 W, 51, 2422 MHz
2026/08/15 02:38:56.300, 97 %, 87973 MiB, 317.94 W, 51, 2422 MHz
2026/08/15 02:39:01.300, 97 %, 87973 MiB, 318.29 W, 51, 2422 MHz
2026/08/15 02:39:06.301, 97 %, 87973 MiB, 318.89 W, 51, 2422 MHz
2026/08/15 02:39:11.301, 98 %, 90137 MiB, 448.26 W, 55, 2400 MHz
2026/08/15 02:39:16.302, 98 %, 90137 MiB, 453.88 W, 58, 2400 MHz
2026/08/15 02:39:21.302, 98 %, 90137 MiB, 455.87 W, 57, 2400 MHz
2026/08/15 02:39:26.303, 98 %, 90137 MiB, 455.49 W, 59, 2400 MHz
2026/08/15 02:39:31.303, 98 %, 91577 MiB, 445.43 W, 59, 2400 MHz
2026/08/15 02:39:36.304, 98 %, 91577 MiB, 448.10 W, 60, 2392 MHz
2026/08/15 02:39:41.304, 98 %, 91577 MiB, 436.45 W, 60, 2400 MHz
2026/08/15 02:39:46.305, 98 %, 91577 MiB, 448.41 W, 60, 2400 MHz
2026/08/15 02:39:51.305, 84 %, 91577 MiB, 446.60 W, 59, 2400 MHz
2026/08/15 02:39:56.306, 98 %, 91577 MiB, 448.46 W, 60, 2392 MHz
2026/08/15 02:40:01.306, 98 %, 91577 MiB, 449.61 W, 61, 2400 MHz
2026/08/15 02:40:06.307, 98 %, 91577 MiB, 386.21 W, 59, 2415 MHz
2026/08/15 02:40:11.307, 0 %, 1699 MiB, 90.09 W, 51, 2430 MHz
2026/08/15 02:40:16.308, 0 %, 0 MiB, 86.29 W, 48, 2422 MHz
2026/08/15 02:40:21.308, 0 %, 0 MiB, 50.68 W, 44, 180 MHz
2026/08/15 02:40:26.309, 0 %, 3 MiB, 36.39 W, 42, 180 MHz
2026/08/15 02:40:31.309, 0 %, 3 MiB, 36.16 W, 40, 180 MHz
2026/08/15 02:40:36.310, 0 %, 1583 MiB, 51.53 W, 40, 2332 MHz
2026/08/15 02:40:41.311, 0 %, 1583 MiB, 86.05 W, 39, 2332 MHz
2026/08/15 02:40:46.311, 12 %, 31451 MiB, 90.71 W, 39, 2332 MHz
2026/08/15 02:40:51.312, 17 %, 85371 MiB, 303.43 W, 48, 2340 MHz
2026/08/15 02:40:56.312, 31 %, 85613 MiB, 189.31 W, 41, 2302 MHz
2026/08/15 02:41:01.313, 16 %, 85857 MiB, 113.30 W, 40, 2325 MHz
2026/08/15 02:41:06.313, 36 %, 86089 MiB, 166.55 W, 41, 2317 MHz
2026/08/15 02:41:11.314, 0 %, 87571 MiB, 87.42 W, 39, 2332 MHz
2026/08/15 02:41:16.314, 97 %, 87939 MiB, 334.31 W, 44, 2400 MHz
2026/08/15 02:41:21.315, 97 %, 87939 MiB, 310.63 W, 45, 2422 MHz
2026/08/15 02:41:26.315, 97 %, 88083 MiB, 320.86 W, 46, 2422 MHz
2026/08/15 02:41:31.316, 97 %, 88083 MiB, 314.98 W, 47, 2422 MHz
2026/08/15 02:41:36.316, 97 %, 88083 MiB, 322.53 W, 48, 2422 MHz
2026/08/15 02:41:41.317, 98 %, 88083 MiB, 322.64 W, 48, 2422 MHz
2026/08/15 02:41:46.318, 97 %, 88083 MiB, 320.37 W, 49, 2422 MHz
2026/08/15 02:41:51.318, 97 %, 88083 MiB, 324.20 W, 49, 2422 MHz
2026/08/15 02:41:56.319, 97 %, 88083 MiB, 318.69 W, 49, 2422 MHz
2026/08/15 02:42:01.319, 98 %, 88083 MiB, 322.87 W, 50, 2422 MHz
